category,extra_name,main_name,price,subcategory,unit_price
Middager og tilbehør,400 g,Laktosefri Risgrøt,"kr 30,90",Ferdige middagsretter,"kr 77,25 per kg"
Middager og tilbehør,350 g,Rømmegrøt,"kr 26,20",Ferdige middagsretter,"kr 74,86 per kg"
Hus og hjem,1 stk,"Stavmikser, Svart","kr 199,90",Kjøkkenredskap,"kr 199,90 per stk"
Hus og hjem,"3 kopper, 1 stk",Presskanne Bistro Nouveau,"kr 249,90",Kjøkkenredskap,"kr 249,90 per stk"
Hus og hjem,"28cm, 1 stk",Stekepanne Diamant,"kr 249,90",Kjøkkenredskap,"kr 249,90 per stk"
Hus og hjem,1 stk,Kjøleskapsoppbevaring for bokser,"kr 49,90",Kjøkkenredskap,"kr 49,90 per stk"
Hus og hjem,1 stk,Epleskreller,"kr 269,90",Kjøkkenredskap,"kr 269,90 per stk"
Hus og hjem,1 stk,Pizzakutter,"kr 39,90",Kjøkkenredskap,"kr 39,90 per stk"
Mathall,150 g,Potetchips Med Brunost,"kr 42,90","Iskrem, søtsaker og snacks","kr 286,00 per kg"
Brød og frokostblandinger,"4 stk, 320 g",Glutenfrie Hamburgerbrød,"kr 55,80",Frosne brød og rundstykker,"kr 174,38 per kg"
Brød og frokostblandinger,"4 stk, 260 g",Glutenfrie Pølsebrød,"kr 54,40",Frosne brød og rundstykker,"kr 209,23 per kg"
Brød og frokostblandinger,"Glutenfri, 240 g",Fine Baguetter,"kr 64,40",Frosne brød og rundstykker,"kr 268,33 per kg"
Brød og frokostblandinger,"Glutenfri, 280 g",Grove Baguetter,"kr 77,80",Frosne brød og rundstykker,"kr 277,86 per kg"
Brød og frokostblandinger,"Glutenfri, 280 g",Havrerudstykker,"kr 73,00",Frosne brød og rundstykker,"kr 260,71 per kg"
Brød og frokostblandinger,"Glutenfri, 280 g",Rundstykker med Valmuefrø,"kr 73,00",Frosne brød og rundstykker,"kr 260,71 per kg"
Brød og frokostblandinger,700 g,KjerneGodt,"kr 35,80",Frosne brød og rundstykker,"kr 51,14 per kg"
Hus og hjem,1 stk,Mini-DisplayPort til HDMI-adapter,"kr 349,90",Kontor,"kr 349,90 per stk"
Hus og hjem,"2m, Hvit, 1 stk",Skjøteledning,"kr 49,90",Kontor,"kr 49,90 per stk"
Hus og hjem,1 stk,Skjøteledning 3m med jord,"kr 59,90",Kontor,"kr 59,90 per stk"
Hus og hjem,"iPod/iPhone/iPad, 1 stk",Synkkabel Lightning hvit,"kr 159,90",Kontor,"kr 159,90 per stk"
Hus og hjem,"Hvit, 1 stk",Synkkabel Micro-USB,"kr 149,90",Kontor,"kr 149,90 per stk"
Hus og hjem,1 stk,Trådløs mus,"kr 139,90",Kontor,"kr 139,90 per stk"
Hus og hjem,1 stk,Trådløst tastatur og mus,"kr 249,90",Kontor,"kr 249,90 per stk"
